smiles,Heiser_inh_index,MERS_inh_index,Touret_inh_index,pert_ID
COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC,,51.975,,['BRD-A72066420']
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,,54.0,0.272937103,['BRD-A41304429']
COc1cc(C(=O)O)cc(OC)c1O,,59.1,,['BRD-K51980294']
COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,,61.55,,['BRD-K45882009']
CC=CC(=O)N(CC)c1ccccc1C,,,0.292560967,['BRD-K13240564']
CNC(C)C(O)c1ccccc1,0.371783798,51.575,,"['BRD-A54236247', 'BRD-A98431941', 'BRD-K84175871']"
COc1cc(O)c(C(C)=O)c(OC)c1,,60.45,,['BRD-K12260308']
CNCC(O)c1ccc(O)c(O)c1,-0.105097874,55.45,0.335835184,['BRD-A07765530']
CNCC(O)c1ccc(O)cc1,0.07332151,54.05,0.917490319,['BRD-A04327189']
CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,-0.217601016,46.125,1.009535452,['BRD-A47494775']
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,,57.0,-0.019129551,['BRD-K81144366']
CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,,,-0.015892421,['BRD-K83636919']
CC(=O)Oc1cccc(O)c1,,50.525,,['BRD-K85603128']
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,,52.74166667,0.106263664,"['BRD-A50157456', 'BRD-M79902621']"
CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O,,41.25,,['BRD-K59469039']
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,,55.125,,['BRD-K40255344']
CC(C)(C=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,53.45,,['BRD-K95851186']
CC(C)(CO)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,,58.725,,['BRD-K65786282']
CC(C)(N)Cc1ccccc1,,50.725,1.218937479,['BRD-K96319534']
COCCCC/C(=N/OCCN)c1ccc(C(F)(F)F)cc1,,,0.35392247600000004,['BRD-K31534764']
COc1ccc(CCN)cc1OC,,55.3,,['BRD-K59570838']
NCC(O)c1ccc(O)cc1,,,0.280703185,['BRD-A14240607']
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0.053101724,51.875,,['BRD-K72676686']
COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.209684216,,0.054193619000000005,['BRD-K30020243']
CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1,,75.075,,['BRD-K60230970']
CC(C)NCC(O)c1ccc(N)c(C#N)c1,,54.75,,['BRD-A65440446']
CC(C)c1cccc(C(C)C)c1O,,56.11666667,0.396909448,['BRD-K82255054']
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0.456952764,80.55,0.260876544,['BRD-K62012036']
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,0.15377189300000002,59.09166667,,['BRD-K50590187']
COc1ccccc1O,,55.5375,0.24937169,['BRD-K96282009']
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,,58.5,0.287210957,['BRD-A43809092']
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,,54.6,0.184374305,"['BRD-A69512159', 'BRD-K78712176']"
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,,57.5625,0.06317600599999999,['BRD-K79711234']
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C,0.170803488,54.8125,,['BRD-A58207013']
CCCCc1ccc(C(=O)O)nc1,,60.2,,['BRD-K87049188']
CC(/N=C(\NC#N)Nc1ccncc1)C(C)(C)C,,,0.015257628999999997,['BRD-A22897758']
Cc1ncc(CO)c(CO)c1O,,52.325,0.17459435399999998,['BRD-K14349461']
CC(C)NNC(=O)c1ccncc1,,53.925,0.026714602,['BRD-K88568253']
OC(Cc1ccncc1)C(Cl)(Cl)Cl,,54.25,,['BRD-A93477898']
NCCc1ccccn1,,52.575,,['BRD-K17874705']
OCc1cccnc1,0.203412636,61.1,,['BRD-K76600340']
NC(=O)c1cccnc1,0.128880608,52.675,-0.016336964,['BRD-K28912512']
O=C(NCCO[N+](=O)[O-])c1cccnc1,,55.05833333,0.072964795,['BRD-K97752965']
CCCc1cc(C(N)=S)ccn1,0.149690849,56.95,,['BRD-K97863768']
O=C(O)c1cccnc1,,54.35,0.35290390200000005,['BRD-K60237333']
CC(=O)OCCNC(=O)c1cccnc1,,44.775,,['BRD-K17693482']
NNC(=O)c1ccncc1,,52.5,0.233683628,['BRD-K87202646']
CCCc1cc(C(=N)S)ccn1,,,1.136479861,['BRD-K75360161']
CCc1cc(C(=N)S)ccn1,0.178381278,55.2,0.121165722,['BRD-K51207550']
CNCCc1ccccn1,0.180192766,50.5125,0.114364267,['BRD-K91315211']
CCCCC1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O,,88.4875,,['BRD-A39255369']
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,0.008594461999999999,52.0,0.570966255,['BRD-K54978501']
CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)N1C,,53.5625,,['BRD-A37942872']
CCS(=O)(=O)N(C)C1c2cc(C#N)ccc2OC(C)(C)C1O,,59.35,,['BRD-A83695761']
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,52.6875,0.038127062,['BRD-A17846016']
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,,52.525,,['BRD-A82892199']
CC(=O)N(O)C1c2cc(C#N)ccc2OC(C)(C)C1O,,48.2625,,['BRD-K45117373']
CCNC(=O)C1OC(n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)C(O)C1O,,50.525,,"['BRD-A57152259', 'BRD-A81866333']"
CN1C(=O)CCC1c1cccnc1,,56.5625,,['BRD-K94144010']
C=C(C)C1CCC(C)=CC1c1c(OC)cc(C)cc1OC,,67.425,,['BRD-K18316707']
Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,,58.1125,,['BRD-K99984802']
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,,69.64166667,0.07478739400000001,['BRD-K98763141']
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,,60.075,0.981707983,['BRD-A70182876']
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,,56.3,0.7226232029999999,['BRD-A46179541']
CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,0.25818619800000003,53.2125,0.8197571359999999,['BRD-K22936972']
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,0.11608208,53.275,0.010373489,['BRD-K30480208']
CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321,,51.15,,['BRD-K05906022']
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,0.083729452,52.375,0.375995279,['BRD-K47936004']
O=c1[nH]c2cc(Cl)ccc2o1,0.18002865399999998,52.73333333,0.063440265,['BRD-K98174813']
N=C(N)NCCNS(=O)(=O)c1cccc2cnccc12,,57.35,,['BRD-K05434375']
CCCCc1cc2ccccc2c(OCCN(C)C)n1,0.139533336,,,['BRD-K73391359']
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,0.149969769,51.59166667,0.631690136,['BRD-K95773607']
CCOC(=O)NCC(Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)NC(C)=CC(=O)c1ccc(C(F)(F)F)cc1,,64.775,,['BRD-A72596465']
O=C1C=C2C=CC3CC2(O1)C1CCCCN31,,71.375,,"['BRD-A25775766', 'BRD-K49071277']"
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,97.175,,['BRD-K15409150']
Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,,51.3,,['BRD-A11135865']
CCN1C(=O)NC(c2ccccc2)C1=O,0.266673793,58.825,0.042131342,['BRD-A30205217']
CCC1(c2ccccc2)NC(=O)N(C)C1=O,,53.5,0.188871473,['BRD-A83937277']
COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1,,61.675,,['BRD-K59331372']
CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,,54.95,,['BRD-K40901640']
COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,0.255462677,53.31,0.026250278,['BRD-K17849083']
N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1,,39.80625,,['BRD-K81209512']
